slug,status_live,content_type,category,title,venue_name,place,zone,start_date,end_date,recurrence,url,booking_url,summary,tags,visitor_appeal_score,family_friendly,hero_image_src,sitemap_exclude
alba-fire-and-ice-sessions,staging,event,wellness,Alba Thermal Springs  -  Fire & Ice Circuits,alba-thermal-springs,red-hill,,2026-04-18,2026-04-30,seasonal,https://peninsulainsider.com.au/whats-on/alba-fire-and-ice-sessions/,https://albathermalsprings.com.au/book,"The quieter Peninsula thermal complex is running a limited April Fire & Ice circuit series, with silent sessions and sunrise slots that make the category make sense again.",,,,/images/sourced/spa-alba-thermal-springs-01.webp,True
anzac-day-sorrento-dawn,live,event,civic,ANZAC Day Dawn Service  -  Sorrento Memorial,,sorrento,,2026-04-25,2026-04-25,annual,https://peninsulainsider.com.au/whats-on/anzac-day-sorrento-dawn/,,"The Peninsula's most quietly moving civic event. A dawn service at the Sorrento memorial, a community breakfast at the RSL, and a village that drops its tourist costume for a morning.",,,,/images/sourced/place-sorrento-01.webp,False
autumn-winery-walk-2026,live,event,food-wine,Autumn Winery Walk 2026,St Georges Anglican Church Carpark,red-hill,,2026-05-09,2026-05-09,annual,https://peninsulainsider.com.au/whats-on/autumn-winery-walk-2026/,https://events.humanitix.com/winery-walk-autumn-2026,"Guided 10 km walk along the historic rail trail from Red Hill to Merricks, passing five wineries (Lindenderry, Foxeys Hangout, Paringa Estate, Stonier, and finishing at Merricks General Store with Baillieu and Elgee Park). Includes tastings and canapés along the route; light lunch at finish. Return ",,5,False,/images/sourced/category-winery-02.webp,False
bass-flinders-gin-masterclass,live,event,food-wine,Bass & Flinders Gin Masterclass,Bass & Flinders Distillery,dromana,,2026-05-01,2027-04-30,weekly,https://peninsulainsider.com.au/whats-on/bass-flinders-gin-masterclass/,https://www.bassandflindersdistillery.com/pages/events,Weekly Gin Masterclass at Bass & Flinders Distillery. Participants learn the history of gin; the distillation process; and techniques to create their own bespoke gin recipe. Includes cheese platter and G&T. Each guest leaves with a 500ml bottle of their own signature gin blend. Led by resident Gin E,,,False,/images/sourced/category-brewery-01.webp,False
boneo-community-market,live,event,market,Boneo Community Market,Boneo Recreation Reserve,,,2026-05-16,2026-05-16,monthly,https://peninsulainsider.com.au/whats-on/boneo-community-market/,,"Mornington Peninsula's longest-running volunteer-operated community market. Held every third Saturday of the month year-round in all weather. 'Make it, Grow it, Bake it' philosophy. Homemade/homegrown produce, craft, art, plants, food. Animal farm and face painters for kids; live music buskers. Proc",,,True,/images/sourced/category-market-02.webp,False
briars-eco-explorers-autumn,live,event,nature,The Briars  -  Eco Explorers Autumn Sessions,,mount-martha,,2026-04-13,2026-04-15,seasonal,https://peninsulainsider.com.au/whats-on/briars-eco-explorers-autumn/,https://www.mornpen.vic.gov.au,"Council-run wildlife and bushland programming for families, tucked inside 230 hectares of wetlands, forest, and a working historic homestead. Free, underpublished, genuinely good.",,,,/images/sourced/explore-greens-bush-01.webp,False
chocolaterie-junior-chocolatier,live,event,family-programs,Mornington Peninsula Chocolates  -  Junior Chocolatier Class,mornington-peninsula-chocolates,flinders,,2026-04-11,2026-04-20,seasonal,https://peninsulainsider.com.au/whats-on/chocolaterie-junior-chocolatier/,https://morningtonpeninsulachocolates.com.au,"A school-holidays workshop for kids 6-12 who want to actually make something edible, then eat it. Two hours, one apron, an entire Peninsula afternoon rescued.",,,,/images/sourced/category-cafe-02.webp,False
coastrek-mornington-peninsula-2026,live,event,racing-sport,Coastrek Mornington Peninsula 2026,Point Nepean National Park,portsea,,2026-05-22,2026-05-22,one-off,https://peninsulainsider.com.au/whats-on/coastrek-mornington-peninsula-2026/,,"Team hiking challenge supporting Beyond Blue mental health. Choose 20km (Sorrento to Point Nepean), 30km (Point Nepean loop), or 50km (Cape Schanck to Point Nepean). Teams of 2 or more. Coastal bush trails and clifftop tracks. 6am start.",,,False,/images/sourced/explore-greens-bush-01.webp,False
crib-point-community-market,live,event,market,Crib Point Community Market,Crib Point Community Hall,,,2026-05-09,2026-05-09,monthly,https://peninsulainsider.com.au/whats-on/crib-point-community-market/,,Community market at Crib Point every second Saturday of the month. Spirit of community support and inclusion; promotes locally made handcrafted products and local produce.,,4,True,,False
crittenden-wines-king-s-birthday-wine-weekend-events,live,event,cellar-door,Crittenden Wines — King's Birthday Wine Weekend Events,Crittenden Wines,dromana,,2026-06-06,2026-06-08,annual,https://peninsulainsider.com.au/whats-on/crittenden-wines-king-s-birthday-wine-weekend-events/,,Crittenden Wines participates in the King's Birthday Winter Wine Weekend with special cellar door events at both the Red Hill Showgrounds (Winter Wine Festival) and Crittenden winery in Dromana. Activities include in-depth seated tastings of 25+ wine styles; new restaurant (opened Oct 2025); and Lak,,,False,/images/sourced/category-winery-04.webp,False
dromana-community-market,live,event,market,Dromana Community Market,Dromana Park,dromana,,2026-05-30,2026-05-30,monthly,https://peninsulainsider.com.au/whats-on/dromana-community-market/,,"Community market at Dromana Park on the last Saturday of every month. Mix of produce, craft, plants and local makers.",,4,True,,False
emu-plains-market-balnarring,live,event,market,Emu Plains Market — Balnarring,Emu Plains Reserve,balnarring,,2026-05-16,2026-05-16,monthly,https://peninsulainsider.com.au/whats-on/emu-plains-market-balnarring/,,"Monthly artisan market at Emu Plains Reserve (Coolart Road, Balnarring). Showcases craft, design, vintage, music, and food. Family and community favourite under stringybark gums.",,3,True,/images/sourced/category-market-01.webp,False
emu-plains-market,live,event,market,Emu Plains Market,Emu Plains Reserve,balnarring,,2026-10-17,2026-10-17,monthly,https://peninsulainsider.com.au/whats-on/emu-plains-market/,,"Monthly artisan market at Emu Plains Reserve Balnarring. For lovers of craft, design, vintage, music and food. Seasonal schedule October–April (day market 9am–2pm) plus June and August dates. Site of the Womin Djeka cultural festival. Volunteer-run community hub.",,,True,,False
flinders-hotel-mothers-day-2026,live,event,food-wine,Mother's Day at Flinders Hotel,Flinders Hotel,flinders,,2026-05-10,2026-05-10,annual,https://peninsulainsider.com.au/whats-on/flinders-hotel-mothers-day-2026/,,"A family-shaped Mother's Day booking in Flinders: lunch from 10:30am with live jazz, face painting and a raffle gift hamper built into the day.",,5,True,/images/sourced/venue-flinders-hotel-01.webp,False
flinders-truffles-winter-truffle-hunt-season,live,event,nature,Flinders Truffles — Winter Truffle Hunt Season,Flinders Truffles,flinders,,2026-06-01,2026-08-31,one-off,https://peninsulainsider.com.au/whats-on/flinders-truffles-winter-truffle-hunt-season/,,Flinders Truffles runs guided truffle hunts on their Flinders farm during winter (June–August). Participants walk through oak fields with truffle dogs to forage for Périgord black truffles. Includes truffle soup and truffle cheese toastie by the fire. Farmgate days allow purchase of fresh truffles a,,,True,/images/sourced/category-producer-04.webp,False
foxeys-hangout-vegetable-feast-morning-sun-vineyard,live,event,food-wine,Foxeys Hangout Vegetable Feast (Morning Sun Vineyard),Foxeys Hangout / Morning Sun Vineyard,,,2026-05-01,2027-04-30,ongoing,https://peninsulainsider.com.au/whats-on/foxeys-hangout-vegetable-feast-morning-sun-vineyard/,,All-vegetable feast by chef Bernard McCarthy at Morning Sun Vineyard in Main Ridge. Multi-course seasonal vegetarian meal with all matched Foxeys Hangout wines. $85pp. Recurring series (specific dates vary). Sample menu: pumpkin risotto grown at Kentucky Road vineyard. Intimate outdoor setting at a ,,,False,/images/sourced/category-producer-03.webp,False
harry-baker-2k-sailing-regatta,live,event,racing-sport,Harry Baker 2K Sailing Regatta,Sorrento Sailing Couta Boat Club,sorrento,,2026-05-30,2026-05-30,one-off,https://peninsulainsider.com.au/whats-on/harry-baker-2k-sailing-regatta/,,Annual sailing regatta hosted by Sorrento Sailing Couta Boat Club. Signature short coastal race from Sorrento foreshore. Part of the club's active summer–autumn racing calendar.,,,False,,False
