slug,status_live,content_type,category,title,place,zone,url,booking_url,summary,duration,price_from,tags,hero_image_src,sitemap_exclude
arthurs-seat-lookout,live,experience,lookout,Arthurs Seat Eagle,red-hill,red-hill-plateau,https://peninsulainsider.com.au/explore/experiences/arthurs-seat-lookout/,https://aseagle.com.au/book,,,,"mood:view,family,slow | season:all-year | audience:families,first-timers,couples",/images/sourced/explore-arthurs-seat-lookout-01.webp,False
balnarring-beach,live,experience,beach,Balnarring Beach,balnarring,red-hill-plateau,https://peninsulainsider.com.au/explore/experiences/balnarring-beach/,,,,,"mood:beach,slow,sunset,family | season:spring,summer,autumn | audience:families,locals,couples,solo",/images/sourced/explore-balnarring-beach-01.webp,False
bushrangers-bay-walk,live,experience,walk,Bushrangers Bay Walk,cape-schanck,ocean-coast,https://peninsulainsider.com.au/explore/experiences/bushrangers-bay-walk/,,,,,"mood:walk,view,slow | season:autumn,winter,spring | audience:couples,locals,first-timers",/images/sourced/explore-bushrangers-bay-walk-01.webp,False
bushrangers-bay,live,experience,beach,Bushrangers Bay,cape-schanck,ocean-coast,https://peninsulainsider.com.au/explore/experiences/bushrangers-bay/,,,,,"mood:beach,walk,solo,view | season:autumn,winter,spring | audience:couples,solo,group",/images/sourced/explore-bushrangers-bay-walk-01.webp,False
cape-schanck-boardwalk,live,experience,lookout,Cape Schanck Boardwalk,cape-schanck,ocean-coast,https://peninsulainsider.com.au/explore/experiences/cape-schanck-boardwalk/,,,,,"mood:view,walk,beach | season:all-year | audience:couples,families,first-timers,locals",/images/sourced/explore-cape-schanck-boardwalk-01.webp,False
cape-schanck-lighthouse-walk,live,experience,walk,Cape Schanck Lighthouse Walk,cape-schanck,ocean-coast,https://peninsulainsider.com.au/explore/experiences/cape-schanck-lighthouse-walk/,,,,,"mood:walk,view,family,sunset | season:all-year | audience:families,couples,first-timers,solo",/images/sourced/explore-cape-schanck-lighthouse-01.webp,False
coastal-walk-cape-schanck,live,experience,walk,Cape Schanck to London Bridge Coastal Walk,cape-schanck,ocean-coast,https://peninsulainsider.com.au/explore/experiences/coastal-walk-cape-schanck/,,,,,"mood:walk,view,solo | season:autumn,winter,spring | audience:solo,couples,group",/images/sourced/explore-cape-schanck-boardwalk-01.webp,False
coppins-track,live,experience,walk,Coppins Track,sorrento,back-beaches,https://peninsulainsider.com.au/explore/experiences/coppins-track/,,,,,"mood:walk,view,solo | season:autumn,winter,spring | audience:couples,solo,group",/images/sourced/explore-two-bays-walk-01.webp,False
dromana-beach,live,experience,beach,Dromana Beach,dromana,bayside,https://peninsulainsider.com.au/explore/experiences/dromana-beach/,,,,,"mood:beach,family,waterfront | season:spring,summer,autumn | audience:families,couples,locals",/images/sourced/explore-dromana-beach-01.webp,False
eagle-ridge-golf-course,live,experience,golf-course,Eagle Ridge Golf Course,balnarring,hinterland,https://peninsulainsider.com.au/explore/experiences/eagle-ridge-golf-course/,,,,,"mood:golf,slow | season:autumn,spring,summer,winter | audience:couples,group,locals",/images/placeholder-golf.svg,False
farnsworth-track,live,experience,walk,Farnsworth Track,point-nepean,tip,https://peninsulainsider.com.au/explore/experiences/farnsworth-track/,,,,,"mood:walk,view,family | season:all-year | audience:families,couples,first-timers",/images/sourced/explore-farnsworth-track-01.webp,False
flinders-golf-club,live,experience,golf-course,Flinders Golf Club,flinders,ocean-coast,https://peninsulainsider.com.au/explore/experiences/flinders-golf-club/,,,,,"mood:golf,view,slow | season:autumn,spring,summer | audience:couples,locals,group",/images/placeholder-golf.svg,False
greens-bush-two-bays-section,live,experience,walk,Greens Bush  -  Two Bays Section,main-ridge,hinterland,https://peninsulainsider.com.au/explore/experiences/greens-bush-two-bays-section/,,,,,"mood:walk,solo,slow | season:autumn,winter,spring | audience:couples,solo,group",/images/sourced/explore-greens-bush-01.webp,False
gunnamatta-ocean-beach,live,experience,beach,Gunnamatta Ocean Beach,cape-schanck,ocean-coast,https://peninsulainsider.com.au/explore/experiences/gunnamatta-ocean-beach/,,,,,"mood:beach,walk,view,solo | season:autumn,winter,spring | audience:couples,solo,group",/images/sourced/explore-gunnamatta-01.webp,False
montalto-sculpture-trail,live,experience,gallery,Montalto Sculpture Trail,red-hill,red-hill-plateau,https://peninsulainsider.com.au/explore/experiences/montalto-sculpture-trail/,,,,,"mood:walk,slow,garden,cellar-door | season:all-year | audience:couples,families,group",/images/placeholder-montalto-sculpture-trail.jpg,False
moonah-links,live,experience,golf-course,Moonah Links,cape-schanck,ocean-coast,https://peninsulainsider.com.au/explore/experiences/moonah-links/,,,,,"mood:golf,weekend-escape | season:autumn,spring,summer | audience:couples,group",/images/placeholder-golf.svg,False
mornington-foreshore-walk,live,experience,walk,Mornington Peninsula Foreshore Walk,mornington,bayside,https://peninsulainsider.com.au/explore/experiences/mornington-foreshore-walk/,,,,,"mood:walk,family,waterfront | season:all-year | audience:families,couples,solo,locals",/images/sourced/explore-mornington-foreshore-01.webp,False
mornington-golf-club,live,experience,golf-course,Mornington Golf Club,mornington,bayside,https://peninsulainsider.com.au/explore/experiences/mornington-golf-club/,,,,,"mood:golf,quick-bite | season:autumn,spring,summer,winter | audience:locals,couples,solo",/images/placeholder-golf.svg,False
mornington-peninsula-gallery,live,experience,gallery,Mornington Peninsula Regional Gallery,mornington,bayside,https://peninsulainsider.com.au/explore/experiences/mornington-peninsula-gallery/,,,,,"mood:rainy-day,slow,solo | season:all-year | audience:couples,solo,families,locals",/images/sourced/explore-mprg-01.webp,False
mornington-peninsula-walk,live,experience,walk,The Two Bays Walking Track,cape-schanck,ocean-coast,https://peninsulainsider.com.au/explore/experiences/mornington-peninsula-walk/,,,,,"mood:walk,slow,view | season:autumn,winter,spring | audience:couples,solo,locals",/images/sourced/explore-two-bays-walk-01.webp,False
mount-martha-beach,live,experience,beach,Mount Martha Beach,mount-martha,bayside,https://peninsulainsider.com.au/explore/experiences/mount-martha-beach/,,,,,"mood:beach,slow,family,view | season:spring,summer,autumn | audience:families,couples,locals,first-timers",/images/sourced/explore-mount-martha-beach-01.webp,False
point-nepean-fort-walk,live,experience,attraction,Point Nepean Fort Walk,point-nepean,tip,https://peninsulainsider.com.au/explore/experiences/point-nepean-fort-walk/,,,,,"mood:walk,view,slow | season:summer,autumn,winter,spring | audience:couples,families,first-timers,locals",/images/sourced/explore-point-nepean-fort-01.webp,False
point-nepean-national-park,live,experience,park,Point Nepean National Park,point-nepean,tip,https://peninsulainsider.com.au/explore/experiences/point-nepean-national-park/,,,,,"mood:walk,view,family,solo | season:all-year | audience:families,couples,solo,first-timers",/images/sourced/place-point-nepean-01.webp,False
portsea-front-beach,live,experience,beach,Portsea Front Beach,portsea,bayside,https://peninsulainsider.com.au/explore/experiences/portsea-front-beach/,,,,,"mood:beach,waterfront,slow | season:spring,summer,autumn | audience:couples,families,solo",/images/sourced/explore-portsea-front-beach-01.webp,False
portsea-golf-club,live,experience,golf-course,Portsea Golf Club,portsea,tip,https://peninsulainsider.com.au/explore/experiences/portsea-golf-club/,,,,,"mood:golf,view | season:autumn,spring,summer | audience:group",/images/placeholder-golf.svg,False
pt-leo-sculpture-park,live,experience,gallery,Pt. Leo Estate Sculpture Park,merricks,red-hill-plateau,https://peninsulainsider.com.au/explore/experiences/pt-leo-sculpture-park/,,,,,"mood:walk,slow,garden,view | season:all-year | audience:couples,families,group,first-timers",/images/sourced/venue-pt-leo-sculpture-01.webp,False
racv-cape-schanck-golf-course,live,experience,golf-course,RACV Cape Schanck Golf Course,cape-schanck,ocean-coast,https://peninsulainsider.com.au/explore/experiences/racv-cape-schanck-golf-course/,,,,,"mood:golf,weekend-escape,view | season:autumn,spring,summer | audience:couples,group",/images/placeholder-golf.svg,False
red-hill-hinterland-cycling,live,experience,tour,Red Hill Hinterland Cycling,red-hill,red-hill-plateau,https://peninsulainsider.com.au/explore/experiences/red-hill-hinterland-cycling/,,,,,"mood:walk,view,cellar-door,slow | season:autumn,spring | audience:couples,group,solo",/images/sourced/place-main-ridge-01.webp,False
red-hill-market,live,experience,market,Red Hill Community Market,red-hill,red-hill-plateau,https://peninsulainsider.com.au/explore/experiences/red-hill-market/,,,,,"mood:slow,garden,quick-bite | season:summer,autumn,spring | audience:families,locals,first-timers,couples",/images/sourced/category-market-02.webp,False
rosebud-country-club,staging,experience,golf-course,Rosebud Country Club,rosebud,bayside,https://peninsulainsider.com.au/explore/experiences/rosebud-country-club/,,,,,"mood:golf,slow | season:autumn,spring,summer,winter | audience:couples,locals,group,first-timers",/images/placeholder-golf.svg,True
rye-ocean-beach,live,experience,beach,Rye Ocean Beach,rye,back-beaches,https://peninsulainsider.com.au/explore/experiences/rye-ocean-beach/,,,,,"mood:beach,walk,solo | season:autumn,winter,spring | audience:couples,solo,locals",/images/sourced/explore-rye-ocean-beach-01.webp,False
safety-beach-foreshore,live,experience,beach,Safety Beach,safety-beach,bayside,https://peninsulainsider.com.au/explore/experiences/safety-beach-foreshore/,,,,,"mood:beach,family,waterfront,slow | season:spring,summer,autumn | audience:families,couples,locals",/images/sourced/place-safety-beach-01.webp,False
sea-search-encounters,live,experience,tour,Sea Search Encounters,sorrento,tip,https://peninsulainsider.com.au/explore/experiences/sea-search-encounters/,https://bayplay.com.au/book,,,,"mood:family,waterfront | season:spring,summer,autumn | audience:families,couples,group,first-timers",/images/sourced/explore-sorrento-ferry-01.webp,False
