slug,status_live,content_type,venue_type,place,zone,name,address,price_band,url,website,booking_url,booking_provider,phone,email,opening_hours,signature,why_we_go,editor_note_excerpt,if_only_one_thing,best_for,tags,awards,hero_image_src,hero_image_alt,hero_credit,featured_partner,last_verified,publish_date,pair_with,sitemap_exclude
advance-mussel-supply,staging,venue,producer,hastings,bayside,Advance Mussel Supply,"55 Oliver St, Hastings VIC 3915",$$,https://peninsulainsider.com.au/explore/producers/advance-mussel-supply/,https://advancemusselsupply.com.au,https://advancemusselsupply.com.au,none,+61 3 5979 1666,,,"Port Phillip blue mussels straight from the lease  -  cooked on site in pots the size of your head, or packed on ice to take home",Advance Mussel Supply is the reason anybody who knows Peninsula seafood drives to Hastings.,"Advance Mussel Supply is the reason anybody who knows Peninsula seafood drives to Hastings. The mussels come straight off the company's own lease in Western Port, the quality is as good as blue mussels get in Australia, and the tiny utilitarian takeaway out the front will cook them for you on site - huge pots of garlic-white-wine mussels with bread on the side - or pack them on ice to take home.…",Order a pot of mussels and eat them there instead of treating this like a retail stop.,families | couples | locals,"mood:waterfront,quick-bite | season:all-year | audience:families,couples,locals",,/images/sourced/venue-polperro-sorrento-pier-01.webp,"Fishing boat at the Peninsula pier — Advance Mussel Supply, Western Port",Peninsula Insider,False,2026-04-09,2026-04-09,Hastings Fishermen's Co-op | Commonfolk Coffee,True
afloat-mornington,staging,venue,cafe,mornington,bayside,Afloat Mornington,"1 Schnapper Point Dr, Mornington VIC 3931",$$,https://peninsulainsider.com.au/explore/cafes/afloat-mornington/,https://afloatmornington.com.au,https://afloatmornington.com.au,direct,,,,"A floating café and bar moored to Mornington Pier  -  all-day menu, fish sandwiches, and the novelty of eggs on toast that bob gently on the tide","Afloat is exactly what it sounds like — a floating café and bar moored to the side of Mornington Pier, with deck seating on top and tables below that genuinely rock with the swell when the wind picks up.","Afloat is exactly what it sounds like - a floating café and bar moored to the side of Mornington Pier, with deck seating on top and tables below that genuinely rock with the swell when the wind picks up. The menu is all-day and leans into the water: chowders, fish sandwiches, bay oysters, a burger for anyone who wants dry land food in a floating room. The novelty does most of the sales work, but…",Order the fish sandwich and eat it on the deck.,couples | families | first Peninsula visit,"mood:waterfront,slow | season:spring,summer,autumn | audience:couples,families,first-timers",,/images/sourced/explore-mornington-foreshore-01.webp,"Mornington foreshore at the pier, editorial placeholder for Afloat Mornington pending venue media",Peninsula Insider,False,2026-04-09,2026-04-09,Garagiste | Mornington Farmers' Market,True
alba-thermal-springs,staging,venue,spa,red-hill,red-hill-plateau,Alba Thermal Springs & Spa,"890 Mornington-Flinders Rd, Fingal VIC 3939",$$$,https://peninsulainsider.com.au/explore/spas/alba-thermal-springs/,https://albathermalsprings.com.au,https://albathermalsprings.com.au/book,direct,+61 3 5911 2100,,,"The Peninsula's second-generation thermal springs complex  -  cleaner architecture, smaller crowds, better pacing than the original",Alba is the thermal springs the Peninsula had been waiting for.,"Alba is the thermal springs the Peninsula had been waiting for. Where Peninsula Hot Springs has become a must-photograph theme park, Alba opened in 2022 with a deliberately stripped-back approach: thirty-one geothermal pools set into a quiet landscape in Fingal, a better spa building, and a ticketing system that caps bather numbers so the experience doesn't collapse into chaos. The architecture…",Book a morning session.,wellness day | wet-weather plan | anniversary weekends,"mood:wellness,rainy-day,slow,anniversary | season:all-year | audience:couples,solo,group,first-timers",,/images/sourced/spa-alba-thermal-springs-01.webp,"Alba Thermal Springs geothermal pools and bathhouse architecture at Fingal, Mornington Peninsula",Alba Thermal Springs,False,2026-04-09,2026-04-09,The Epicurean | Jackalope Hotel,True
allis-wine-bar,staging,venue,restaurant,main-ridge,red-hill-plateau,Allis Wine Bar,"1333 Mornington-Flinders Rd, Main Ridge VIC 3928",$$$,https://peninsulainsider.com.au/explore/restaurants/allis-wine-bar/,https://www.tenminutesbytractor.com.au/allis,https://www.tenminutesbytractor.com.au/allis-reservations,direct,+61 3 5989 6455,,,"The low-waste, low-key sibling of Ten Minutes by Tractor's fine dining room  -  small plates, garden-harvested produce, and a thoughtful wine list","Allis is the casual-hearted sibling to Ten Minutes by Tractor's fine dining room, and for a lot of people who know the Peninsula well it is quietly the better meal of the two.","Allis is the casual-hearted sibling to Ten Minutes by Tractor's fine dining room, and for a lot of people who know the Peninsula well it is quietly the better meal of the two. The format is small-plate and low-waste: vegetables straight out of the Ten Minutes kitchen garden, offcuts from the main restaurant deliberately integrated into the menu, and a wine list built to drink rather than to…",Book the earlier sitting and let the kitchen feed you at its own pace.,couples | date night | long lunch,"mood:first-date,slow,solo | season:all-year | audience:couples,solo",,/images/sourced/category-restaurant-02.webp,"Wine bar interior, editorial placeholder for Allis Wine Bar pending venue media",Peninsula Insider,False,2026-04-09,2026-04-09,Morning Sun Vineyard | Main Ridge Dairy,True
arthurs-views,live,venue,cottage,dromana,bayside,Arthurs Views,Arthurs Seat VIC 3936,$$,https://peninsulainsider.com.au/explore/cottages/arthurs-views/,https://arthursviews.com.au,https://arthursviews.com.au,direct,,,,"Five suites with panoramic Port Phillip Bay views from Arthurs Seat ridge — adults-only, double spas, electric log fires",Panoramic Port Phillip Bay views from Arthurs Seat — the Peninsula's most panoramic B&B position.,"Five suites on the Arthurs Seat ridge with panoramic Port Phillip Bay views, double spas, and electric log fires. AAA 4.5-star rated. Adults-only, child-free. Hosts Helen and Greg. From approximately $265–$330 per night, peak from $369. Arthurs Seat is the geographic mid-point of the Peninsula — convenient for day trips in both directions. Confirm minimum stay and current condition before…",Request a suite with the north-facing bay view rather than the garden-facing room.,view | anniversary weekends | romance,"mood:view,anniversary,romance | season:all-year | audience:couples",,/images/sourced/explore-arthurs-seat-lookout-01.webp,Mornington Peninsula — representative image for Arthurs Views pending venue media,Peninsula Insider,False,2026-05-07,2026-05-08,Crittenden Estate | Dromana,False
ashcombe-maze,staging,venue,producer,shoreham,ocean-coast,Ashcombe Maze & Lavender Gardens,"15 Shoreham Rd, Shoreham VIC 3916",$$,https://peninsulainsider.com.au/explore/producers/ashcombe-maze/,https://www.ashcombemaze.com.au,https://www.ashcombemaze.com.au/visit,direct,+61 3 5989 8387,,,"Lavender fields, Australia's oldest hedge maze, rose garden, and a small café  -  the quiet, slightly wholesome Peninsula detour",Ashcombe Maze is the Peninsula's most unexpectedly charming detour.,"Ashcombe Maze is the Peninsula's most unexpectedly charming detour. The gardens hold Australia's oldest symmetrical hedge maze, a circular rose garden, a lavender labyrinth, and a small café that sells lavender everything - ice cream, scones, shortbread, tisane - from a room that smells exactly like the fields outside. The place is deliberately low-tempo. You walk the maze, you sit in the…",Go early and buy the thing this place is best known for before it sells out.,garden afternoons | family outing | wet-weather plan,"mood:garden,slow,family,rainy-day | season:spring,summer,autumn | audience:families,couples,first-timers",Australia's Oldest Hedge Maze,/images/sourced/venue-ashcombe-maze-01.webp,"Ashcombe Maze and Lavender Gardens, Shoreham — Mornington Peninsula attraction",DenisFrolow / Wikimedia Commons (CC BY-SA 4.0),False,2026-04-09,2026-04-09,Flinders General Store | Flinders Sourdough,True
avani-wines,staging,venue,winery,red-hill,red-hill-plateau,Avani Wines,"112 Shoreham Rd, Red Hill South VIC 3937",$$,https://peninsulainsider.com.au/explore/winerys/avani-wines/,https://avaniwines.com.au,https://avaniwines.com.au/visit,direct,+61 418 555 941,,,Shashi and Rohit Singh's biodynamic family estate  -  home to one of the Peninsula's only serious Syrah programs alongside Amrit single-vineyard Pinot,"Avani is the Peninsula's quiet Syrah specialist, and that alone is reason to visit.","Avani is the Peninsula's quiet Syrah specialist, and that alone is reason to visit. Shashi and Rohit Singh run the estate as a genuinely small family operation - biodynamically farmed, hand-worked, and unusually focused on Syrah at a time when nearly every other cellar door on the ridge has all-in on Pinot Noir. The Amrit single-vineyard wines - Syrah, Chardonnay, Pinot Noir and a skin-contact…",Book ahead.,families | cellar door | couples,"mood:cellar-door,slow | season:all-year | audience:couples,solo",Gourmet Traveller Best Small Cellar Door Mornington 2023 | Biodynamic Family Estate,/images/sourced/venue-avani-wines-01.jpg,A glass of Avani pinot held above a row of barrels in the cellar,C McConville for Avani Wines,False,2026-04-09,2026-04-09,Tedesca Osteria | Red Hill Cheese,True
azuma-japanese,staging,venue,restaurant,mornington,bayside,Azuma Japanese,"89 Main St, Mornington VIC 3931",$$,https://peninsulainsider.com.au/explore/restaurants/azuma-japanese/,,,direct,+61 3 5975 1330,,,"A neighbourhood Japanese on Mornington's main street  -  reliable sushi, sashimi and donburi, and a useful break from the Peninsula's cheese-and-red-wine default","Azuma is a small, reliable neighbourhood Japanese on Mornington's main street and the right answer when a week of Peninsula cheese, charcuterie, and Pinot has pushed you toward something cleaner.","Azuma is a small, reliable neighbourhood Japanese on Mornington's main street and the right answer when a week of Peninsula cheese, charcuterie, and Pinot has pushed you toward something cleaner. The menu is classic middle-market Japanese - sushi and sashimi at the front, a tight list of donburi, tempura and ramen in the back - and the kitchen runs it all at an honest standard without trying to…",Book ahead for dinner.,family outing | families | couples,"mood:quick-bite,family | season:all-year | audience:families,couples,locals",,/images/sourced/category-restaurant-06.webp,"Restaurant interior, editorial placeholder for Azuma Japanese pending venue media",Peninsula Insider,False,2026-04-09,2026-04-09,Garagiste | Mornington Farmers' Market,True
baillieu-vineyard,staging,venue,winery,merricks,red-hill-plateau,Baillieu Vineyard,"51 Stanleys Rd, Merricks VIC 3916",$$,https://peninsulainsider.com.au/explore/winerys/baillieu-vineyard/,https://baillieuvineyard.com.au,https://baillieuvineyard.com.au,direct,,,,A thoughtfully managed Merricks estate making quietly excellent Chardonnay and Pinot Noir that rewards the drive to find it,"Baillieu Vineyard is the kind of place the Peninsula wine crowd refers to in lowered voices — not because it is a secret, but because it is genuinely under-visited.","Baillieu Vineyard is the kind of place the Peninsula wine crowd refers to in lowered voices - not because it is a secret, but because it is genuinely under-visited. Small, thoughtfully managed, and tucked along a quiet back road, Baillieu produces elegant Chardonnay and Pinot Noir from a site that rarely makes the day-trip itineraries. The cellar door is small and the experience rewards people…",Book a tasting and stay long enough for a proper glass afterwards.,cellar door | couples | wine people,"mood:cellar-door,slow,solo | season:all-year | audience:couples,solo",Halliday 5-Red-Star Winery,/images/sourced/article-vineyard-villa-01.webp,Mornington Peninsula landscape — representative image for Baillieu Vineyard,Peninsula Insider,False,2026-04-09,2026-04-09,Elgee Park | Merricks General Wine Store,True
balnarring-bakehouse,staging,venue,bakery,balnarring,red-hill-plateau,Balnarring Bakehouse,"3050 Frankston-Flinders Rd, Balnarring VIC 3926",$,https://peninsulainsider.com.au/explore/bakerys/balnarring-bakehouse/,,,none,+61 3 5983 5060,,,"The village bakehouse for the Balnarring side of the Peninsula  -  pies, pastries, and the breakfast sandwich that fuels the Saturday market crowd",Balnarring Bakehouse is the village bakery the Balnarring side of the Peninsula has relied on for years.,"Balnarring Bakehouse is the village bakery the Balnarring side of the Peninsula has relied on for years. The pies and pastries are proper country-bakery standard - a solid beef-and-mushroom, a honest custard tart, a vanilla slice that will not disappoint anyone over the age of eight - and the weekend breakfast sandwich has become the quiet fuel source for half the Balnarring Market crowd on a…",Order a pie and a sweet pastry and eat at least one of them while it is still warm.,family outing | families | locals,"mood:quick-bite,family | season:all-year | audience:families,locals",,/images/sourced/article-red-hill-saturday-01.webp,Mornington Peninsula landscape — representative image for Balnarring Bakehouse,Peninsula Insider,False,2026-04-09,2026-04-09,Balnarring Market | The Balnarring Pub,True
