bucket,section,words,url,reason,title
DIFFERENTIATE,eat,381,"https://peninsulainsider.com.au/eat/dromana-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Dromana Estate, Tuerong · Peninsula Insider"
DIFFERENTIATE,eat,382,"https://peninsulainsider.com.au/eat/onannon","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Onannon, Tuerong · Peninsula Insider"
DIFFERENTIATE,eat,393,"https://peninsulainsider.com.au/eat/phaedrus-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Phaedrus Estate, Dromana · Peninsula Insider"
DIFFERENTIATE,eat,422,"https://peninsulainsider.com.au/eat/baillieu-vineyard","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Baillieu Vineyard, Merricks · Peninsula Insider"
DIFFERENTIATE,eat,425,"https://peninsulainsider.com.au/eat/lightfoot-wines","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Lightfoot Wines, Main Ridge · Peninsula Insider"
DIFFERENTIATE,eat,426,"https://peninsulainsider.com.au/eat/stumpy-gully-vineyard","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Stumpy Gully Vineyard, Moorooduc · Peninsula Insider"
DIFFERENTIATE,eat,443,"https://peninsulainsider.com.au/eat/trofeo-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Trofeo Estate, Dromana · Peninsula Insider"
DIFFERENTIATE,eat,444,"https://peninsulainsider.com.au/eat/tucks-ridge","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Tuck's Ridge, Red Hill · Peninsula Insider"
DIFFERENTIATE,eat,446,"https://peninsulainsider.com.au/eat/merricks-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Merricks Estate, Merricks · Peninsula Insider"
DIFFERENTIATE,eat,446,"https://peninsulainsider.com.au/eat/willow-creek-vineyard","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Willow Creek Vineyard, Merricks · Peninsula Insider"
DIFFERENTIATE,eat,452,"https://peninsulainsider.com.au/eat/barmah-park-vineyard","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Barmah Park Vineyard, Moorooduc · Peninsula Insider"
DIFFERENTIATE,eat,466,"https://peninsulainsider.com.au/eat/elgee-park","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Elgee Park, Merricks · Peninsula Insider"
DIFFERENTIATE,eat,467,"https://peninsulainsider.com.au/eat/circe-wines","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Circe Wines, Mornington · Peninsula Insider"
DIFFERENTIATE,eat,468,"https://peninsulainsider.com.au/eat/red-hill-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Red Hill Estate, Red Hill · Peninsula Insider"
DIFFERENTIATE,eat,471,"https://peninsulainsider.com.au/eat/t-gallant","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","T'Gallant, Main Ridge · Peninsula Insider"
DIFFERENTIATE,eat,474,"https://peninsulainsider.com.au/eat/prancing-horse-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Prancing Horse Estate, Red Hill · Peninsula Insider"
DIFFERENTIATE,eat,507,"https://peninsulainsider.com.au/eat/paradigm-hill","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Paradigm Hill, Main Ridge · Peninsula Insider"
DIFFERENTIATE,eat,523,"https://peninsulainsider.com.au/eat/nazaaray-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Nazaaray Estate, Flinders · Peninsula Insider"
DIFFERENTIATE,eat,533,"https://peninsulainsider.com.au/eat/hurley-vineyard","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Hurley Vineyard, Balnarring · Peninsula Insider"
DIFFERENTIATE,eat,535,"https://peninsulainsider.com.au/eat/quealy-winemakers","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Quealy Winemakers, Merricks · Peninsula Insider"
DIFFERENTIATE,eat,540,"https://peninsulainsider.com.au/eat/garagiste","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Garagiste, Mornington · Peninsula Insider"
DIFFERENTIATE,eat,542,"https://peninsulainsider.com.au/eat/avani-wines","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Avani Wines, Red Hill · Peninsula Insider"
DIFFERENTIATE,eat,561,"https://peninsulainsider.com.au/eat/eldridge-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Eldridge Estate, Red Hill · Peninsula Insider"
DIFFERENTIATE,eat,592,"https://peninsulainsider.com.au/eat/foxeys-hangout","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Foxeys Hangout, Red Hill · Peninsula Insider"
DIFFERENTIATE,eat,594,"https://peninsulainsider.com.au/eat/morning-sun","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Morning Sun Vineyard, Main Ridge · Peninsula Insider"
DIFFERENTIATE,eat,595,"https://peninsulainsider.com.au/eat/scorpo-wines","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Scorpo Wines, Merricks · Peninsula Insider"
DIFFERENTIATE,eat,602,"https://peninsulainsider.com.au/eat/yabby-lake","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Yabby Lake Vineyard, Tuerong · Peninsula Insider"
DIFFERENTIATE,eat,605,"https://peninsulainsider.com.au/eat/moorooduc-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Moorooduc Estate, Moorooduc · Peninsula Insider"
DIFFERENTIATE,eat,610,"https://peninsulainsider.com.au/eat/paringa-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Paringa Estate, Red Hill · Peninsula Insider"
DIFFERENTIATE,eat,610,"https://peninsulainsider.com.au/eat/stonier-wines","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Stonier Wines, Merricks · Peninsula Insider"
DIFFERENTIATE,eat,632,"https://peninsulainsider.com.au/eat/main-ridge-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Main Ridge Estate, Main Ridge · Peninsula Insider"
DIFFERENTIATE,eat,633,"https://peninsulainsider.com.au/eat/kooyong","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Kooyong, Main Ridge · Peninsula Insider"
DIFFERENTIATE,eat,637,"https://peninsulainsider.com.au/eat/dexter-wines","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Dexter Wines, Main Ridge · Peninsula Insider"
DIFFERENTIATE,eat,650,"https://peninsulainsider.com.au/eat/crittenden-estate","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Crittenden Estate, Dromana · Peninsula Insider"
DIFFERENTIATE,eat,677,"https://peninsulainsider.com.au/eat/ocean-eight","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Ocean Eight Vineyard, Main Ridge · Peninsula Insider"
DIFFERENTIATE,eat,769,"https://peninsulainsider.com.au/eat/montalto","near-duplicate of wine/{slug} — differentiate dining vs cellar door content, or add canonical to wine/","Montalto Vineyard & Olive Grove, Red Hill · Peninsula Insider"
KEEP_IMPROVE,eat,1059,"https://peninsulainsider.com.au/eat/best-restaurants","best-of hub — high search intent, prioritise for improvement","Best Restaurants Mornington Peninsula · Peninsula Insider"
KEEP_IMPROVE,eat,5689,"https://peninsulainsider.com.au/eat","section hub — strong internal link anchor, keep in sitemap","Best Restaurants Mornington Peninsula · Peninsula Insider"
KEEP_IMPROVE,escape,867,"https://peninsulainsider.com.au/escape/the-family-day-out","strong content — keep in sitemap, request indexing","The Peninsula Family Day Out — Mornington Peninsula Weekend Escape | Peninsula Insider"
KEEP_IMPROVE,escape,916,"https://peninsulainsider.com.au/escape/wellness-weekend","strong content — keep in sitemap, request indexing","The Wellness Reset: A Two-Night Peninsula Weekend — Mornington Peninsula Weekend Escape | Peninsula Insider"
KEEP_IMPROVE,escape,973,"https://peninsulainsider.com.au/escape/ridge-to-sea-two-night-escape","strong content — keep in sitemap, request indexing","Ridge to Sea: A Two-Night Peninsula Escape — Mornington Peninsula Weekend Escape | Peninsula Insider"
KEEP_IMPROVE,escape,993,"https://peninsulainsider.com.au/escape/the-peninsula-golf-weekend","strong content — keep in sitemap, request indexing","The Peninsula Golf Weekend: Two Nights, One Serious Round, Room for the Rest — Mornington Peninsula Weekend Escape | Peninsula Insider"
KEEP_IMPROVE,escape,1109,"https://peninsulainsider.com.au/escape/sorrento-off-season-weekend","strong content — keep in sitemap, request indexing","The Sorrento Off-Season Weekend — Mornington Peninsula Weekend Escape | Peninsula Insider"
KEEP_IMPROVE,escape,1573,"https://peninsulainsider.com.au/escape","strong content — keep in sitemap, request indexing","Mornington Peninsula Itineraries · Peninsula Insider"
KEEP_IMPROVE,explore,829,"https://peninsulainsider.com.au/explore/the-dunes-golf-links","strong content — keep in sitemap, request indexing","The Dunes Golf Links, Rye · Peninsula Insider"
KEEP_IMPROVE,explore,832,"https://peninsulainsider.com.au/explore/point-nepean-national-park","strong content — keep in sitemap, request indexing","Point Nepean National Park, Point Nepean · Peninsula Insider"
KEEP_IMPROVE,explore,845,"https://peninsulainsider.com.au/explore/farnsworth-track","strong content — keep in sitemap, request indexing","Farnsworth Track, Point Nepean · Peninsula Insider"
KEEP_IMPROVE,explore,851,"https://peninsulainsider.com.au/explore/rye-ocean-beach","strong content — keep in sitemap, request indexing","Rye Ocean Beach, Rye · Peninsula Insider"
